,x,,,,,,,,,,,,,State,Year
43,https://www.myneta.info/jharkhand2014/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,JHARKHAND,2014
44,https://www.myneta.info/jarka09/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,JHARKHAND,2009
45,https://www.myneta.info/jarka05/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,JHARKHAND,2005
46,https://www.myneta.info/Karnataka2023/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,KARNATAKA,2023
47,https://www.myneta.info/karnataka2018/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,KARNATAKA,2018
48,https://www.myneta.info/karnataka2013/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,KARNATAKA,2013
49,https://www.myneta.info/karnatka2008/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,KARNATAKA,2008
50,https://www.myneta.info/karnataka2004/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,KARNATAKA,2004
51,https://www.myneta.info/Kerala2021/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,KERALA,2021
52,https://www.myneta.info/kerala2016/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,KERALA,2016
53,https://www.myneta.info/kerala2011/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,KERALA,2011
54,https://www.myneta.info/ker2006/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,KERALA,2006
55,https://www.myneta.info/MadhyaPradesh2023/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MADHYA PRADESH,2023
56,https://www.myneta.info/madhyapradesh2018/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MADHYA PRADESH,2018
57,https://www.myneta.info/mp2013/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MADHYA PRADESH,2013
58,https://www.myneta.info/2008mp/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MADHYA PRADESH,2008
59,https://www.myneta.info/maharashtra2019/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MAHARASHTRA,2019
60,https://www.myneta.info/maharashtra2014/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MAHARASHTRA,2014
61,https://www.myneta.info/mh2009/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MAHARASHTRA,2009
62,https://www.myneta.info/mah2004/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MAHARASHTRA,2004
63,https://www.myneta.info/manipur2022/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MANIPUR,2022
64,https://www.myneta.info/manipur2017/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MANIPUR,2017
65,https://www.myneta.info/manipur2012/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MANIPUR,2012
66,https://www.myneta.info/manipur07/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MANIPUR,2007
67,https://www.myneta.info/Meghalaya2023/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MEGHALAYA,2023
68,https://www.myneta.info/meghalaya2018/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MEGHALAYA,2018
69,https://www.myneta.info/meghalaya2013/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MEGHALAYA,2013
70,https://www.myneta.info/2008Meghalaya/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MEGHALAYA,2008
71,https://www.myneta.info/mizoram2018/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MIZORAM,2018
72,https://www.myneta.info/mizoram2013/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MIZORAM,2013
73,https://www.myneta.info/2008Mizoram/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,MIZORAM,2008
74,https://www.myneta.info/Nagaland2023/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,NAGALAND,2023
75,https://www.myneta.info/nagaland2018/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,NAGALAND,2018
76,https://www.myneta.info/nagaland2013/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,NAGALAND,2013
77,https://www.myneta.info/2008Nagaland/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,NAGALAND,2008
78,https://www.myneta.info/odisha2019/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ODISHA,2019
79,https://www.myneta.info/odisha2014/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ODISHA,2014
80,https://www.myneta.info/orissa2009/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ODISHA,2009
81,https://www.myneta.info/orissa2004/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ODISHA,2004
82,https://www.myneta.info/Puducherry2021/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,PUDUCHERRY,2021
83,https://www.myneta.info/puducherry2016/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,PUDUCHERRY,2016
84,https://www.myneta.info/puducherry2011/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,PUDUCHERRY,2011
85,https://www.myneta.info/pond2006/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,PUDUCHERRY,2006
86,https://www.myneta.info/punjab2022/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,PUNJAB,2022
87,https://www.myneta.info/punjab2017/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,PUNJAB,2017
