,Candidate,Party,Criminal.Cases,Education,Age,Total.Assets,Liabilities,Constituency,State,District,Year
1,Anila Bhendia,INC,0,Post Graduate,57,78469355,9612385,DONDI LOHARA (ST),CHHATTISGARH,BALOD,2023
2,Kunwer Singh Nishad,INC,0,Post Graduate,52,5431396,350000,GUNDERDEHI,CHHATTISGARH,BALOD,2023
3,Sangeeta Sinha,INC,0,Graduate,48,51222958,5442695,SANJARI BALOD,CHHATTISGARH,BALOD,2023
4,Tank Ram Verma,BJP,0,Post Graduate,61,24735862,0,BALODA BAZAR,CHHATTISGARH,BALODABAZAR- BHATAPARA,2023
5,Indra Kumar Sao,INC,1,Post Graduate,56,24506891,550000,BHATAPARA,CHHATTISGARH,BALODABAZAR- BHATAPARA,2023
6,Sandeep Sahu,INC,0,Post Graduate,44,4513398,0,KASDOL,CHHATTISGARH,BALODABAZAR- BHATAPARA,2023
7,Ram Vichar Netam,BJP,0,10th Pass,62,69283634,4982076,RAMANUJGANJ (ST),CHHATTISGARH,BALRAMPUR,2023
8,Udhheshwari Paikra,BJP,1,12th Pass,51,16239904,4102193,SAMRI (ST),CHHATTISGARH,BALRAMPUR,2023
9,Lakheshwar Baghel,INC,0,Graduate,64,89905652,8722534,BASTAR (ST),CHHATTISGARH,BASTAR (JAGDALPUR),2023
10,Vinayak Goyal,BJP,1,12th Pass,46,6031611,663795,CHITRAKOT (ST),CHHATTISGARH,BASTAR (JAGDALPUR),2023
11,Kiran Deo,BJP,0,Graduate Professional,61,30150691,1500000,JAGDALPUR,CHHATTISGARH,BASTAR (JAGDALPUR),2023
12,Dipesh Sahu,BJP,0,Post Graduate,35,5044154,0,BEMETARA,CHHATTISGARH,BEMETARA,2023
13,Dayal Das Baghel,BJP,1,8th Pass,69,38105638,4390813,NAWAGARH (SC),CHHATTISGARH,BEMETARA,2023
14,Ishwar Sahu,BJP,0,5th Pass,42,1660270,0,SAJA,CHHATTISGARH,BEMETARA,2023
15,Vikram Mandavi,INC,0,12th Pass,46,7312794,2226830,BIJAPUR (ST),CHHATTISGARH,BIJAPUR,2023
16,Sushant Shukla,BJP,1,12th Pass,40,41928600,10943118,BELTARA,CHHATTISGARH,BILASPUR,2023
17,Amar Agrawal,BJP,0,Graduate,60,270065891,37255661,BILASPUR,CHHATTISGARH,BILASPUR,2023
18,Dharam Lal Kaushik,BJP,0,Post Graduate,65,97069683,0,BILHA,CHHATTISGARH,BILASPUR,2023
19,Atal Shrivastav,INC,3,Graduate Professional,55,102128712,20593928,KOTA,CHHATTISGARH,BILASPUR,2023
20,Dilip Lahariya,INC,0,12th Pass,54,24181416,5067565,MASTURI (SC),CHHATTISGARH,BILASPUR,2023
21,Dharmjeet Singh,BJP,0,Graduate,70,29278301,0,TAKHATPUR,CHHATTISGARH,BILASPUR,2023
22,Chaitram Atami,BJP,0,12th Pass,47,4018633,496000,DANTEWADA (ST),CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,2023
23,Onkar Sahu,INC,0,12th Pass,41,16053318,0,DHAMTARI,CHHATTISGARH,DHAMTARI,2023
24,Ajay Chandrakar,BJP,0,Post Graduate,60,145293631,23559783,KURUD,CHHATTISGARH,DHAMTARI,2023
25,Ambika Markam,INC,0,Post Graduate,60,10465834,1346446,SIHAWA (ST),CHHATTISGARH,DHAMTARI,2023
26,Domanlal Korsewada,BJP,0,Post Graduate,75,16226118,967384,AHIWARA (SC),CHHATTISGARH,DURG,2023
27,Devendra Yadav,INC,4,12th Pass,33,49721456,23634285,BHILAI NAGAR,CHHATTISGARH,DURG,2023
28,Gajendra Yadav,BJP,1,Post Graduate,45,42766482,2027663,DURG CITY,CHHATTISGARH,DURG,2023
29,Lalit Chandrakar,BJP,0,Graduate,49,136739504,5206319,DURG-RURAL,CHHATTISGARH,DURG,2023
30,Bhupesh Baghel,INC,1,Post Graduate,63,333892433,2882570,PATAN,CHHATTISGARH,DURG,2023
31,Rikesh Sen,BJP,2,12th Pass,42,12374351,791666,VAISHALI NAGAR,CHHATTISGARH,DURG,2023
32,Janak Ram Dhruw,INC,0,Post Graduate,58,13236204,750000,BINDRANAWAGARH (ST),CHHATTISGARH,GARIYABAND,2023
33,Rohit Sahu,BJP,0,12th Pass,45,12420182,4797682,RAJIM,CHHATTISGARH,GARIYABAND,2023
34,Pranav Kumar Marpachi,BJP,0,Post Graduate,45,7152591,1230257,MARWAHI (ST),CHHATTISGARH,GAURELA-PENDRA-MARWAHI,2023
35,Raghavendra Kumar Singh,INC,0,Graduate Professional,37,143690609,6133198,AKALTARA,CHHATTISGARH,JANJGIR-CHAMPA,2023
36,Byas Kashyap S/O Shaniram Kashyap,INC,0,Graduate,57,21984923,3511678,JANJGIR-CHAMPA,CHHATTISGARH,JANJGIR-CHAMPA,2023
37,Sheshraj Harvansh,INC,0,Graduate,47,42977248,0,PAMGARH (SC),CHHATTISGARH,JANJGIR-CHAMPA,2023
38,Raymuni Bhagat,BJP,0,Graduate,54,10600500,0,JASHPUR (ST),CHHATTISGARH,JASHPUR,2023
39,Vishnu Deo Sai,BJP,0,10th Pass,59,38081550,6581921,KUNKURI (ST),CHHATTISGARH,JASHPUR,2023
40,Gomati Sai,BJP,0,12th Pass,45,1547972,0,PATHALGAON (ST),CHHATTISGARH,JASHPUR,2023
41,Vijay Sharma,BJP,7,Post Graduate,50,19973772,1283688,KAWARDHA,CHHATTISGARH,KABIRDHAM,2023
42,Bhawna Bohra,BJP,0,Post Graduate,41,338642624,60359046,PANDARIYA,CHHATTISGARH,KABIRDHAM,2023
43,Yashoda Nilamber Verma,INC,0,10th Pass,45,23855183,1349012,KHAIRAGARH,CHHATTISGARH,KHAIRAGARH-CHHUYIKHADAN-GANDAYI,2023
44,Neelkanth Tekam,BJP,0,Post Graduate,55,17245481,1696142,KESHKAL (ST),CHHATTISGARH,KONDAGAON,2023
45,Lata Usendi,BJP,0,12th Pass,48,36975318,18602769,KONDAGAON (ST),CHHATTISGARH,KONDAGAON,2023
46,Premchand Patel,BJP,0,Post Graduate,50,20274933,235823,KATGHORA,CHHATTISGARH,KORBA,2023
47,Lakhanlal Devangan,BJP,0,12th Pass,61,5866304,0,KORBA,CHHATTISGARH,KORBA,2023
48,Tuleshwar Hira Singh Markam,Gondvana Gantantra Party,0,Graduate Professional,50,2603656,0,PALI-TANAKHAR (ST),CHHATTISGARH,KORBA,2023
49,Phoolsingh Rathiya,INC,0,8th Pass,56,7300000,1141211,RAMPUR (ST),CHHATTISGARH,KORBA,2023
50,Bhaiya Lal Rajwade,BJP,0,10th Pass,70,25712330,634379,BAIKUNTHPUR,CHHATTISGARH,KORIA,2023
51,Sampat Agrawal,BJP,0,Post Graduate,62,112960854,0,BASNA,CHHATTISGARH,MAHASAMUND,2023
52,Dwarikadhish Yadav,INC,0,12th Pass,49,17630967,297827,KHALLARI,CHHATTISGARH,MAHASAMUND,2023
53,Yogeshwar Raju Sinha,BJP,1,Graduate,43,124057919,11464296,MAHASAMUND,CHHATTISGARH,MAHASAMUND,2023
54,Chaturi Nand,INC,0,Post Graduate,42,5581385,1580000,SARAIPALI (SC),CHHATTISGARH,MAHASAMUND,2023
55,Renuka Singh Saruta,BJP,0,12th Pass,58,42059422,403132,BHARATPUR-SONHAT (ST),CHHATTISGARH,MANENDRAGARH-CHIRMIRI-BHARATPUR,2023
56,Shyam Bihari Jaiswal,BJP,0,Post Graduate,47,120945487,50168477,MANENDRAGARH,CHHATTISGARH,MANENDRAGARH-CHIRMIRI-BHARATPUR,2023
57,Indrashah Mandavi,INC,0,Post Graduate,62,42171867,60000,MOHLA-MANPUR (ST),CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,2023
58,Arun Sao,BJP,0,Graduate Professional,55,16572864,0,LORMI,CHHATTISGARH,MUNGELI,2023
59,Punnulal Mohle,BJP,0,12th Pass,71,50090893,0,MUNGELI (SC),CHHATTISGARH,MUNGELI,2023
60,Kedar Kashyap,BJP,0,Post Graduate,48,35962325,2578264,NARAYANPUR (ST),CHHATTISGARH,NARAYANPUR,2023
61,Laljit Singh Rathia,INC,0,Post Graduate,46,18922254,9367524,DHARAMJAIGARH (ST),CHHATTISGARH,RAIGARH,2023
62,Umesh Patel,INC,0,Graduate Professional,39,29254501,0,KHARSIA,CHHATTISGARH,RAIGARH,2023
63,Vidyawati Sidar,INC,0,12th Pass,40,15089539,475608,LAILUNGA (ST),CHHATTISGARH,RAIGARH,2023
64,O.P.Choudhary,BJP,5,Graduate,41,129011613,6525000,RAIGARH,CHHATTISGARH,RAIGARH,2023
65,Indra Kumar Sahu,BJP,0,Graduate,56,11833345,0,ABHANPUR,CHHATTISGARH,RAIPUR,2023
66,Guru Khushwant Saheb,BJP,0,Post Graduate,34,20871835,12522149,ARANG (SC),CHHATTISGARH,RAIPUR,2023
67,Anuj Sharma,BJP,0,Post Graduate,47,81967913,5169699,DHARSIWA,CHHATTISGARH,RAIPUR,2023
68,Purandar Mishra,BJP,0,Doctorate,63,118626774,45517967,RAIPUR CITY NORTH,CHHATTISGARH,RAIPUR,2023
69,Brijmohan Agrawal,BJP,0,Post Graduate,64,174959000,9851000,RAIPUR CITY SOUTH,CHHATTISGARH,RAIPUR,2023
70,Rajesh Munat,BJP,1,12th Pass,59,88871988,39197112,RAIPUR CITY WEST,CHHATTISGARH,RAIPUR,2023
71,Motilal Sahu,BJP,0,Others,59,37514377,207200,RAIPUR RURAL,CHHATTISGARH,RAIPUR,2023
72,Daleshwar Sahu,INC,0,12th Pass,55,28281108,294359,DONGARGAON,CHHATTISGARH,RAJNANDGAON,2023
73,Harshita Swami Baghel,INC,0,Post Graduate,35,22276533,6354245,DONGARGARH (SC),CHHATTISGARH,RAJNANDGAON,2023
74,Bholaram Sahu,INC,0,8th Pass,64,12445467,340712,KHUJJI,CHHATTISGARH,RAJNANDGAON,2023
75,Dr. Raman Singh,BJP,0,Graduate Professional,71,153533844,2147334,RAJNANDGAON,CHHATTISGARH,RAJNANDGAON,2023
76,Ramkumar Yadav,INC,0,8th Pass,43,1002039,0,CHANDRAPUR,CHHATTISGARH,SAKTI,2023
77,Baleshwar Sahu,INC,1,Post Graduate,35,82074109,32604568,JAIJAIPUR,CHHATTISGARH,SAKTI,2023
78,Charan Das Mahant,INC,0,Doctorate,68,208524056,1037833,SAKTI,CHHATTISGARH,SAKTI,2023
79,Kavita Pran Lahrey,INC,0,Graduate,30,11952215,809964,BILAIGARH (SC),CHHATTISGARH,SARANGARH BILAIGARH,2023
80,Uttari Jangde,INC,0,12th Pass,36,15942790,0,SARANGARH (SC),CHHATTISGARH,SARANGARH BILAIGARH,2023
81,Kawasi Lakhma,INC,0,Literate,65,21923218,3588107,KONTA (ST),CHHATTISGARH,SUKMA,2023
82,Laxmi Rajwade,BJP,0,12th Pass,31,14128966,2800644,BHATGAON,CHHATTISGARH,SURAJPUR,2023
83,Shakuntala Singh Portey,BJP,1,Graduate Professional,43,9302399,1480052,PRATAPPUR (ST),CHHATTISGARH,SURAJPUR,2023
84,Bhulan Singh Marabi,BJP,0,8th Pass,55,6221595,132918,PREMNAGAR,CHHATTISGARH,SURAJPUR,2023
85,Rajesh Agrawal,BJP,0,10th Pass,57,100704128,26354420,AMBIKAPUR,CHHATTISGARH,SURGUJA,2023
86,Prabodh Minz,BJP,0,Others,61,53338870,600970,LUNDRA (ST),CHHATTISGARH,SURGUJA,2023
87,Poorv Sainik Ramkumar Toppo,BJP,0,Graduate,31,1312000,1700000,SITAPUR (ST),CHHATTISGARH,SURGUJA,2023
88,Vikram Usendi,BJP,0,10th Pass,58,46236767,0,ANTAGARH (ST),CHHATTISGARH,UTTAR BASTAR KANKER,2023
89,Savitri Manoj Mandavi,INC,0,Graduate,57,61927450,13860653,BHANUPRATAPPUR (ST),CHHATTISGARH,UTTAR BASTAR KANKER,2023
90,Asha Ram Netam,BJP,1,Graduate,42,7457771,0,KANKER (ST),CHHATTISGARH,UTTAR BASTAR KANKER,2023
91,B.Z.Zameer Ahmed Khan,INC,5,8th Pass,55,727258460,429320915,CHAMRAJAPET,KARNATAKA,B.B.M.P(CENTRAL),2023
92,Uday B. Garudachar,BJP,2,Graduate Professional,63,2415933555,486138787,CHICKPET,KARNATAKA,B.B.M.P(CENTRAL),2023
93,Dinesh Gundu Rao,INC,0,Graduate Professional,53,480688573,63151909,GANDHINAGAR,KARNATAKA,B.B.M.P(CENTRAL),2023
94,S Suresh Kumar,BJP,0,Graduate Professional,67,47813737,0,RAJAJINAGAR,KARNATAKA,B.B.M.P(CENTRAL),2023
95,Munirathna,BJP,8,10th Pass,59,2936028925,1022190597,RAJARAJESHWARINAGAR,KARNATAKA,B.B.M.P(CENTRAL),2023
96,N. A. Haris,INC,1,Post Graduate,56,4392099180,282956979,SHANTINAGAR,KARNATAKA,B.B.M.P(CENTRAL),2023
97,Rizwan Arshad,INC,4,Graduate,43,215163515,70653192,SHIVAJINAGAR,KARNATAKA,B.B.M.P(CENTRAL),2023
98,S. Raghu,BJP,0,Graduate Professional,53,421036051,27585783,C.V. RAMANNNAGAR (SC),KARNATAKA,B.B.M.P(NORTH),2023
99,Suresha B S,INC,2,12th Pass,51,6481494854,1148674690,HEBBAL,KARNATAKA,B.B.M.P(NORTH),2023
100,B. A. Basavaraja,BJP,3,12th Pass,59,1225222505,231884072,K.R. PURA,KARNATAKA,B.B.M.P(NORTH),2023
101,K. Gopalaiah,BJP,0,Graduate,63,1106458434,626094278,MAHALAKSHMI LAYOUT,KARNATAKA,B.B.M.P(NORTH),2023
102,Dr Ashwath Narayan C N,BJP,1,Graduate Professional,55,175349088,4043160,MALLESHWARAM,KARNATAKA,B.B.M.P(NORTH),2023
103,A C Srinivasa,INC,0,Graduate,56,1876783128,1112253548,PULAKESHINAGAR (SC),KARNATAKA,B.B.M.P(NORTH),2023
104,Ramalinga Reddy,INC,4,Graduate,70,1106776557,350847701,B.T.M LAYOUT,KARNATAKA,B.B.M.P(SOUTH),2023
105,Ravi Subramanya L.A.,BJP,1,Post Graduate,64,105246376,58185380,BASAVANAGUDI,KARNATAKA,B.B.M.P(SOUTH),2023
106,Sathish Reddy .M,BJP,0,10th Pass,51,1224981101,472438558,BOMMANAHALLI,KARNATAKA,B.B.M.P(SOUTH),2023
107,Priyakrishna,INC,1,Post Graduate,39,11568393089,8819938805,GOVINDARAJANAGAR,KARNATAKA,B.B.M.P(SOUTH),2023
108,C K Ramamurthy,BJP,3,12th Pass,57,339095742,47991688,JAYANAGAR,KARNATAKA,B.B.M.P(SOUTH),2023
109,R. Ashoka,BJP,1,Graduate,65,873525360,95699826,PADMANABANAGAR,KARNATAKA,B.B.M.P(SOUTH),2023
110,M Krishnappa,INC,1,Graduate,71,2962656915,771806410,VIJAYANAGAR,KARNATAKA,B.B.M.P(SOUTH),2023
111,B.B.Chimmanakatti,INC,0,Graduate Professional,39,57071896,27148417,BADAMI,KARNATAKA,BAGALKOT,2023
112,Meti Hullappa Yamanappa,INC,0,8th Pass,77,34923400,18995965,BAGALKOT,KARNATAKA,BAGALKOT,2023
113,J. T. Patil,INC,0,Graduate,73,38405462,47818304,BILGI,KARNATAKA,BAGALKOT,2023
114,Kashappanavara Vijayanand Shivashankrappa,INC,11,12th Pass,51,99121943,29294425,HUNGUND,KARNATAKA,BAGALKOT,2023
115,Jagadeesh Shivayya Gudagunti,BJP,0,Others,68,575878204,42896510,JAMKHANDI,KARNATAKA,BAGALKOT,2023
116,Timmapur Ramappa Balappa,INC,1,Graduate Professional,61,5856080,3469000,MUDHOL (SC),KARNATAKA,BAGALKOT,2023
117,Siddu Savadi,BJP,2,10th Pass,63,138276813,56814596,TERDAL,KARNATAKA,BAGALKOT,2023
118,K.H.Muniyappa,INC,1,Graduate Professional,75,596309799,277167982,DEVANAHALLI (SC),KARNATAKA,BANGALORE RURAL,2023
119,Dheeraj Muniraj,BJP,1,Post Graduate,31,9761196,4.00E+06,DODDABALLAPUR,KARNATAKA,BANGALORE RURAL,2023
120,Sharath Kumar Bachegowda,INC,4,Post Graduate,41,1077459876,15054123,HOSAKOTE,KARNATAKA,BANGALORE RURAL,2023
121,Shreenivasaiah N,INC,0,Post Graduate,37,63520035,15287028,NELAMANGALA (SC),KARNATAKA,BANGALORE RURAL,2023
122,B. Shivanna,INC,1,Post Graduate,56,352472752,38941119,ANEKAL (SC),KARNATAKA,BANGALORE URBAN,2023
123,M Krishnappa,BJP,0,10th Pass,61,899949800,203021457,BANGALORE SOUTH,KARNATAKA,BANGALORE URBAN,2023
124,Krishna Byregowda,INC,2,Post Graduate,50,167056737,9522183,BYATARAYANAPURA,KARNATAKA,BANGALORE URBAN,2023
125,S. Muniraju,BJP,0,10th Pass,64,283646819,81460115,DASARAHALLI,KARNATAKA,BANGALORE URBAN,2023
126,Manjula S,BJP,0,12th Pass,48,530051631,182563952,MAHADEVAPURA (SC),KARNATAKA,BANGALORE URBAN,2023
127,S R Vishwanath,BJP,2,Graduate,60,635856313,7765280,YELAHANKA,KARNATAKA,BANGALORE URBAN,2023
128,S.T. Somashekar,BJP,1,Graduate,65,278815551,31433690,YESHWANTHAPURA,KARNATAKA,BANGALORE URBAN,2023
129,Balachandra Laxmanrao Jarkiholi,BJP,0,10th Pass,56,356992186,1750000,ARABHAVI,KARNATAKA,BELGAUM,2023
130,Laxman Sangappa Savadi,INC,1,12th Pass,64,371838123,19881050,ATHANI,KARNATAKA,BELGAUM,2023
131,Koujalagi Mahantesh Shivanand,INC,1,Graduate Professional,52,153899312,7227724,BAILAHONGAL,KARNATAKA,BELGAUM,2023
132,Abhay Patil,BJP,3,10th Pass,54,98349096,2955955,BELGAUM DAKSHIN,KARNATAKA,BELGAUM,2023
133,Laxmi R. Hebbalkar,INC,3,Post Graduate,48,131840922,56869101,BELGAUM RURAL,KARNATAKA,BELGAUM,2023
134,Asif (Raju) Sait,INC,0,12th Pass,64,331449445,203740,BELGAUM UTTAR,KARNATAKA,BELGAUM,2023
135,Ganesh Prakash Hukkeri,INC,0,Graduate Professional,45,179712182,23999693,CHIKKODI-SADALGA,KARNATAKA,BELGAUM,2023
136,Jarkiholi Ramesh Laxmanrao,BJP,1,12th Pass,63,492745820,434809673,GOKAK,KARNATAKA,BELGAUM,2023
137,Katti Nikhil Umesh,BJP,1,Post Graduate,40,1219528236,97097,HUKKERI,KARNATAKA,BELGAUM,2023
138,Bharamgouda Alagouda Kage,INC,0,Graduate,65,179596137,0,KAGWAD,KARNATAKA,BELGAUM,2023
139,Vithal Somanna Halagekar,BJP,0,Graduate Professional,60,33375869,26669779,KHANAPUR,KARNATAKA,BELGAUM,2023
140,Babasaheb Patil,INC,0,Graduate,51,51716730,11233735,KITTUR,KARNATAKA,BELGAUM,2023
141,Mahendra Kallappa Tammannavar,INC,1,Graduate,45,74975544,2500000,KUDACHI (SC),KARNATAKA,BELGAUM,2023
142,Jolle Shashikala Annasaheb,BJP,1,10th Pass,53,522306937,224158030,NIPPANI,KARNATAKA,BELGAUM,2023
143,Ashok Pattan,INC,0,Graduate,72,17880658,3681430,RAMDURG,KARNATAKA,BELGAUM,2023
144,Aihole Duryodhan Mahalingappa,BJP,0,10th Pass,65,147133482,1.00E+07,RAYBAG (SC),KARNATAKA,BELGAUM,2023
145,Vishwas Vasant Vaidya,INC,1,Graduate,41,42123113,14237007,SAUNDATTI YELLAMMA,KARNATAKA,BELGAUM,2023
146,Satish Laxmanrao Jarkiholi,INC,2,12th Pass,60,1752983696,122944348,YEMKANAMARDI (ST),KARNATAKA,BELGAUM,2023
147,B Nagendra,INC,42,Graduate,52,176342135,37878335,BELLARY (ST),KARNATAKA,BELLARY,2023
148,Nara Bharath Reddy,INC,2,Graduate,33,911821808,343786368,BELLARY CITY,KARNATAKA,BELLARY,2023
149,J N Ganesh,INC,0,12th Pass,44,88965355,8889479,KAMPLI (ST),KARNATAKA,BELLARY,2023
150,E. Tukaram,INC,0,Post Graduate,56,28805985,8825000,SANDUR (ST),KARNATAKA,BELLARY,2023
151,B. M. Nagaraja,INC,0,8th Pass,51,92962608,0,SIRAGUPPA (ST),KARNATAKA,BELLARY,2023
152,Prabhu Chavan,BJP,0,12th Pass,53,108523296,5453872,AURAD (SC),KARNATAKA,BIDAR,2023
153,Sharanu Salagar,BJP,1,Post Graduate,47,46520057,4607167,BASAVAKALYAN,KARNATAKA,BIDAR,2023
154,Eshwar Khandre,INC,7,Graduate Professional,61,87442877,5802106,BHALKI,KARNATAKA,BIDAR,2023
155,Rahim Khan,INC,0,12th Pass,57,838440950,51042019,BIDAR,KARNATAKA,BIDAR,2023
156,Dr. Shailendra Beldale,BJP,1,Graduate Professional,49,44903000,25800000,BIDAR SOUTH,KARNATAKA,BIDAR,2023
157,Siddu Patil,BJP,3,Graduate Professional,45,89073491,65320101,HUMNABAD,KARNATAKA,BIDAR,2023
158,M B Patil,INC,5,Graduate Professional,58,1413104981,472499980,BABALESHWAR,KARNATAKA,BIJAPUR,2023
159,Shivanand Patil,INC,0,Others,61,353912438,37054844,BASAVANA BAGEVADI,KARNATAKA,BIJAPUR,2023
160,Basanagouda R Patil (Yatnal),BJP,4,Graduate,60,261010514,206167769,BIJAPUR CITY,KARNATAKA,BIJAPUR,2023
161,Bhimanagouda (Rajugouda) Basanagouda Patil,JD(S),0,Graduate,51,42065952,19541521,DEVARA HIPPARGI,KARNATAKA,BIJAPUR,2023
162,Yashavantaraygoud. Vittalagoud. Patil,INC,3,12th Pass,56,116872478,35881940,INDI,KARNATAKA,BIJAPUR,2023
163,Appaji Aliyas Channabasavaraj S/O Shankarao Nadagouda,INC,0,Graduate,65,221776720,16656701,MUDDEBIHAL,KARNATAKA,BIJAPUR,2023
164,Katakadhond Vitthal Dondiba,INC,1,12th Pass,67,60460000,2.00E+06,NAGTHAN (SC),KARNATAKA,BIJAPUR,2023
165,Ashok Mallappa Managuli,INC,1,Graduate,54,74598335,38379776,SINDGI,KARNATAKA,BIJAPUR,2023
166,C. Puttarangashetty,INC,2,Graduate,68,141470148,216800500,CHAMARAJANAGAR,KARNATAKA,CHAMARAJNAGAR,2023
167,H.M.Ganesh Prasad,INC,0,Graduate,39,273795488,168717170,GUNDLUPET,KARNATAKA,CHAMARAJNAGAR,2023
168,M.R. Manjunath,JD(S),0,10th Pass,50,3166796220,612284950,HANUR,KARNATAKA,CHAMARAJNAGAR,2023
169,A.R.Krishnamurthy,INC,0,Graduate,62,45848260,4889933,KOLLEGAL (SC),KARNATAKA,CHAMARAJNAGAR,2023
170,S.N. Subbareddy (Chinnakayalapalli),INC,0,10th Pass,56,3136194537,700769159,BAGEPALLI,KARNATAKA,CHIKKABALLAPUR,2023
171,Pradeep Eshwar,INC,2,12th Pass,38,8923859,1728204,CHIKKABALLAPUR,KARNATAKA,CHIKKABALLAPUR,2023
172,Dr M C Sudhakar,INC,0,Post Graduate,54,655422193,26871536,CHINTAMANI,KARNATAKA,CHIKKABALLAPUR,2023
173,K H Puttaswamy Gowda,IND,0,Graduate,69,12670337391,51006405,GAURIBIDANUR,KARNATAKA,CHIKKABALLAPUR,2023
174,B N Ravikumar,JD(S),0,5th Pass,54,22565901,20000,SIDLAGHATTA,KARNATAKA,CHIKKABALLAPUR,2023
175,H. D. Thammaiah,INC,0,12th Pass,55,65153339,26514557,CHICKAMAGALUR,KARNATAKA,CHIKMAGALUR,2023
176,K S Anand,INC,2,Graduate,44,46344594,4166668,KADUR,KARNATAKA,CHIKMAGALUR,2023
177,Nayana Motamma,INC,0,Post Graduate,43,107296154,33291915,MUDIGERE (SC),KARNATAKA,CHIKMAGALUR,2023
178,T.D.Rajegowda,INC,0,Graduate,63,328053245,46249441,SRINGERI,KARNATAKA,CHIKMAGALUR,2023
179,G.H. Srinivasa,INC,0,Graduate Professional,55,157002688,9523404,TARIKERE,KARNATAKA,CHIKMAGALUR,2023
180,T. Raghumurthy,INC,0,Graduate Professional,59,221827134,117543920,CHALLAKERE (ST),KARNATAKA,CHITRADURGA,2023
181,K.C.Veerendra Puppy,INC,2,Graduate,47,1348942076,191632592,CHITRADURGA,KARNATAKA,CHITRADURGA,2023
182,D Sudakar,INC,2,Graduate,63,1356940368,1145231046,HIRIYUR,KARNATAKA,CHITRADURGA,2023
183,M.Chandrappa,BJP,0,Graduate,71,257587486,576640,HOLALKERE (SC),KARNATAKA,CHITRADURGA,2023
184,B G Govindappa,INC,1,12th Pass,67,29098000,1873590,HOSADURGA,KARNATAKA,CHITRADURGA,2023
185,N.Y.Gopalakrishna,INC,0,Post Graduate,71,65063394,0,MOLAKALMURU (ST),KARNATAKA,CHITRADURGA,2023
186,Rajesh Naik U,BJP,0,Graduate,64,323921952,52766588,BANTWAL,KARNATAKA,DAKSHINA KANNADA,2023
187,Harish Poonja,BJP,1,Graduate Professional,41,32733882,11129074,BELTHANGADY,KARNATAKA,DAKSHINA KANNADA,2023
188,U.T. Khader Fareed,INC,3,Graduate Professional,54,69767074,6980832,MANGALORE,KARNATAKA,DAKSHINA KANNADA,2023
189,Dr Y Bharath Shetty,BJP,0,Post Graduate,52,113939904,9648789,MANGALORE CITY NORTH,KARNATAKA,DAKSHINA KANNADA,2023
190,D.Vedavyasa Kamath,BJP,1,Graduate,45,402250804,58444647,MANGALORE CITY SOUTH,KARNATAKA,DAKSHINA KANNADA,2023
191,Umanatha Kotian,BJP,1,10th Pass,62,49311245,2568836,MOODABIDRI,KARNATAKA,DAKSHINA KANNADA,2023
192,Ashok Kumar Rai,INC,1,Post Graduate,53,706938294,563573624,PUTTUR,KARNATAKA,DAKSHINA KANNADA,2023
193,Bhagirathi Murulya,BJP,0,10th Pass,48,2825628,227500,SULLIA (SC),KARNATAKA,DAKSHINA KANNADA,2023
194,Basavaraju V Shivaganga,INC,3,Graduate,42,61261704,16751320,CHANNAGIRI,KARNATAKA,DAVANGERE,2023
195,S.S.Mallikarjun,INC,1,Graduate,55,1892037646,245804947,DAVANAGERE NORTH,KARNATAKA,DAVANGERE,2023
196,Shamanur Shivashankarappa,INC,1,12th Pass,91,3127529622,177404944,DAVANAGERE SOUTH,KARNATAKA,DAVANGERE,2023
197,B P Harish,BJP,0,Graduate,62,57339331,12341925,HARIHAR,KARNATAKA,DAVANGERE,2023
198,Shanthana Gowda.D.G.,INC,2,8th Pass,74,203970523,42268521,HONNALI,KARNATAKA,DAVANGERE,2023
199,B.Devendrappa,INC,0,12th Pass,61,21154681,3200000,JAGALUR (ST),KARNATAKA,DAVANGERE,2023
200,K. S. Basavanthappa,INC,1,10th Pass,55,10131523,325800,MAYAKONDA (SC),KARNATAKA,DAVANGERE,2023
201,Vinay Kulkarni,INC,7,12th Pass,56,190270292,14439729,DHARWAD,KARNATAKA,DHARWAD,2023
202,Mahesh Tenginakai,BJP,1,10th Pass,52,14021961,700900,HUBLI-DHARWAD-CENTRAL,KARNATAKA,DHARWAD,2023
203,Abbayya Prasad,INC,0,12th Pass,54,59602725,16012013,HUBLI-DHARWAD-EAST (SC),KARNATAKA,DHARWAD,2023
204,Arvind Bellad,BJP,0,Graduate Professional,53,1065705489,148105000,HUBLI-DHARWAD-WEST,KARNATAKA,DHARWAD,2023
205,Santosh S Lad,INC,8,Graduate,48,1388295352,241657541,KALAGHATGI,KARNATAKA,DHARWAD,2023
206,M R Patil,BJP,0,Graduate,61,17202932,246125,KUNDGOL,KARNATAKA,DHARWAD,2023
207,Ningaraddi Hanamaraddi Konaraddi,INC,0,Graduate,59,61406692,2119598,NAVALGUND,KARNATAKA,DHARWAD,2023
208,H. K. Patil,INC,2,Graduate Professional,70,213550457,35305155,GADAG,KARNATAKA,GADAG,2023
209,C. C. Patil,BJP,0,10th Pass,64,168645182,41104895,NARGUND,KARNATAKA,GADAG,2023
